Name,Address,Latitude,Longitude,Ward,Primary SIC,Primary SIC description,SIC_Code_1,SIC_Code_2,SIC_Code_3,SIC_Code_4,Primary NAICS,Primary NAICS description,NAICS_1,NAICS1_Description,NAICS_2,NAICS2 Description,Employee # Range,Employee #,Location Sales Range,Location Sales,Lat2,Long2,WARD_ID
9port & Health, ,38.906467,-77.016954,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9065018,-77.0169983,6
Aldridge Fitness Connection,1701 Redwood Ter NW,38.992592,-77.039444,4,799101,Health Clubs Studios & Gymnasiums,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,6,"Less Than $500,000","$336,000 ",38.9925995,-77.0393982,4
American Parkour Academies,219 M St NW,38.905823,-77.014252,6,799101,Health Clubs Studios & Gymnasiums,596104,E-Commerce,799101,Health Clubs Studios & Gymnasiums,713940,Fitness & Recreational Sports Centers,454111,Electronic Shopping,713940,Fitness & Recreational Sports Centers,20 to 49,20,$1-2.5 Million,"$1,120,000 ",38.9057999,-77.0142975,6
Applied Fitness,1620 L St NW # 1210,38.903337,-77.037718,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.9033012,-77.0376968,2
Art Of Spyn,950 F St NW,38.897054,-77.02525,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.8970985,-77.0252991,2
Athlete Studio,1730 Connecticut Ave NW,38.913534,-77.046115,2,799107,Pilates,799107,Pilates, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,3,"Less Than $500,000","$168,000 ",38.9135017,-77.0460968,2
Balance Gym,2401 M St NW,38.905784,-77.051676,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,20 to 49,20,$1-2.5 Million,"$1,120,000 ",38.9057999,-77.0516968,2
Balance Gym,2121 Wisconsin Ave NW,38.918478,-77.069699,3,799102,Gymnasiums,799102,Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,1 to 4,4,"Less Than $500,000","$224,000 ",38.918499,-77.0697021,3
Balance Gym Thomas Circle,1111 14th St NW,38.904246,-77.031512,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,799102,Gymnasiums,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,20 to 49,20,$1-2.5 Million,"$1,120,000 ",38.9042015,-77.0315018,2
Bang Salon,1212 4th St SE # 170,38.875281,-77.000507,6,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.8753014,-77.0005035,6
Bar Method,750 9th St NW # 103,38.899392,-77.024385,2,729906,Exercise & Physical Fitness Programs,729906,Exercise & Physical Fitness Programs,799101,Health Clubs Studios & Gymnasiums, , ,812191,Diet & Weight Reducing Centers,713940,Fitness & Recreational Sports Centers,5 to 9,5,"$500,000-1 Million","$920,000 ",38.8993988,-77.0243988,2
Barre 3,1000 Wisconsin Ave NW # G100,38.902756,-77.062998,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,8,"Less Than $500,000","$448,000 ",38.9028015,-77.0630035,2
Because We Care,621 Alabama Ave SE,38.842967,-76.9971,8,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums, , ,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers, , ,5 to 9,6,"Less Than $500,000","$336,000 ",38.8429985,-76.9971008,8
Bench Personal Training,1150 18th St NW # 130,38.904469,-77.042233,2,729999,Miscellaneous Personal Services NEC,729999,Miscellaneous Personal Services NEC,799106,Personal Trainers-Fitness, , ,812990,All Other Personal Services,713940,Fitness & Recreational Sports Centers,5 to 9,6,$1-2.5 Million,"$1,104,000 ",38.9044991,-77.0421982,2
Bey & Assoc,1738 14th St NW # 1,38.913837,-77.032286,2,799101,Health Clubs Studios & Gymnasiums,799101,Health Clubs Studios & Gymnasiums,799102,Gymnasiums,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,713940,Fitness & Recreational Sports Centers,1 to 4,2,"Less Than $500,000","$112,000 ",38.9137993,-77.0323029,2
