,geoLevel1,geoLevel2,SERIAL,PUMA,WGTP,geoLevel0,NP,Long,Lat,serialSynth
322,1,9504,285697,105,80,11,1,-76.99047304,38.86754384,285697-1
1042,1,9203,1093308,104,60,11,5,-76.98383742,38.90660031,1093308-7
1294,1,9203,1349400,104,72,11,1,-76.97824107,38.91609029,1349400-3
12,1,9907,20463,102,36,11,1,-76.98856318,38.90244143,20463-2
1380,1,7304,1363799,105,152,11,1,-77.02568637,38.80517566,1363799-1
351,1,9203,401416,104,174,11,1,-76.97627571,38.91269767,401416-1
945,1,1901,811622,104,108,11,1,-76.99900801,38.85531678,811622-3
841,1,8301,888742,101,118,11,3,-76.96452981,38.92689589,888742-1
260,1,10100,202665,104,71,11,2,-76.99101151,38.86227435,202665-1
826,1,9203,913449,104,58,11,2,-76.98525994,38.90684993,913449-2
905,1,8301,971531,101,84,11,2,-76.97319198,38.92226976,971531-2
112,1,9907,150827,102,63,11,1,-76.98108033,38.90389871,150827-3
1074,1,4300,733462,103,0,11,1,-76.99014153,38.86368505,733462-4
87,1,9203,95903,104,56,11,1,-76.97706197,38.91167019,95903-1
616,1,9601,978028,105,99,11,1,-76.98515574,38.87075224,978028-1
281,1,9203,325889,104,117,11,1,-76.97823788,38.91428825,325889-5
503,1,8410,1113524,104,0,11,1,-76.97259067,38.88296806,1113524-1
1132,1,9203,1183858,104,189,11,1,-76.98490586,38.90837286,1183858-2
19,1,1902,38645,101,66,11,2,-77.01633063,38.8287026,38645-1
1394,1,9602,1299658,105,67,11,1,-77.03243166,38.83861048,1299658-1
334,1,4300,265662,103,74,11,3,-76.98748864,38.86692392,265662-3
555,1,9601,917821,105,0,11,1,-76.98690291,38.86958619,917821-1
147,1,9203,163970,104,79,11,2,-76.97735096,38.91283726,163970-1
1276,1,10100,980250,104,0,11,1,-76.99290404,38.86229002,980250-4
1391,1,2202,1327645,103,64,11,2,-76.96178823,38.92334228,1327645-4
1138,1,9504,1126513,105,74,11,1,-76.99544185,38.86017874,1126513-1
932,1,9203,1017904,104,167,11,2,-76.9796982,38.91175103,1017904-1
886,1,4300,632551,103,68,11,2,-76.9902594,38.86538725,632551-2
249,1,9203,276047,104,55,11,2,-76.98106423,38.91080867,276047-3
189,1,9907,267391,102,72,11,3,-76.98787596,38.90316905,267391-2
446,1,8903,395421,105,102,11,1,-76.97864565,38.9066547,395421-3
1320,1,7304,1301069,105,110,11,1,-77.02380882,38.8196744,1301069-1
1297,1,2202,1244505,103,58,11,1,-76.9602346,38.92605715,1244505-1
94,1,8903,84691,105,75,11,1,-76.97885593,38.9054439,84691-2
1054,1,9504,1016149,105,196,11,1,-76.99781047,38.85740816,1016149-4
885,1,9602,863610,105,47,11,1,-77.03842639,38.83414256,863610-1
1081,1,9907,1264382,102,166,11,1,-76.98367261,38.90216148,1264382-2
270,1,9601,407786,105,71,11,2,-76.98545697,38.86980813,407786-3
748,1,8903,721486,105,74,11,1,-76.97895471,38.90498804,721486-1
1183,1,4300,799316,103,64,11,1,-76.99043693,38.86489456,799316-2
947,1,9907,1122283,102,51,11,2,-76.98859408,38.90308187,1122283-2
1008,1,9504,979034,105,0,11,1,-76.9924575,38.86435272,979034-3
589,1,4300,440994,103,245,11,2,-76.98966195,38.86409845,440994-4
87,1,8301,125489,101,50,11,1,-76.96817643,38.91647777,125489-2
58,1,9907,86885,102,58,11,4,-76.98375376,38.90099929,86885-1
8,1,8903,4864,105,89,11,1,-76.98074599,38.90311945,4864-3
772,1,9203,836620,104,53,11,2,-76.97883379,38.91509429,836620-3
600,1,1600,476867,102,142,11,1,-76.95720739,38.90751539,476867-4
953,1,9907,1141998,102,71,11,2,-76.98669524,38.90236518,1141998-2
1406,1,10100,1067670,104,76,11,2,-76.99129997,38.86306107,1067670-2
340,1,9907,449721,102,182,11,3,-76.98207094,38.90356011,449721-1
441,1,9907,601531,102,82,11,4,-76.98366484,38.90151141,601531-4
137,1,9504,107975,105,74,11,1,-76.99710336,38.8581107,107975-2
88,1,10100,49974,104,0,11,1,-76.99360615,38.85965327,49974-2
279,1,8410,599470,104,64,11,1,-76.96525914,38.89103642,599470-3
139,1,9602,96367,105,50,11,1,-77.03023002,38.82198275,96367-1
1045,1,8903,976948,105,52,11,2,-76.97919889,38.90494248,976948-1
855,1,1902,1333909,101,0,11,1,-77.01283501,38.8326637,1333909-5
319,1,6600,410772,104,327,11,1,-76.96276731,38.89122604,410772-2
511,1,9203,521057,104,61,11,2,-76.98067503,38.90518535,521057-3
1178,1,8301,1352541,101,65,11,1,-76.9665846,38.92454579,1352541-1
169,1,9203,202218,104,68,11,1,-76.97808882,38.91489154,202218-1
